"POS","RIDER","COUNTRY","POINTS","STAGE"
50,"Kobe Goossens","BEL",25,15
51,"Sven Erik Bystrøm","NOR",24,15
52,"Jérémy Lecroq","FRA",24,15
53,"Florian Senechal","FRA",23,15
54,"Brent Van Moer","BEL",23,15
55,"Yves Lampaert","BEL",22,15
56,"Pierre-Roger Latour","FRA",22,15
57,"Chris Froome","GBR",21,15
58,"Andrea Pasqualon","ITA",21,15
59,"Mikkel Honore","DEN",20,15
60,"Dylan Van Baarle","NED",20,15
61,"Frederik Frison","BEL",19,15
62,"Alexander Vlasov","RUS",18,15
63,"Rigoberto Uran","COL",18,15
64,"Daniel Martinez","COL",18,15
65,"Nelson Oliveira","POR",18,15
66,"Alexis Gougeard","FRA",18,15
67,"Jonathan Castroviejo","ESP",17,15
68,"Giulio Ciccone","ITA",17,15
69,"Krists Neilands","LAT",17,15
70,"Christopher Juul Jensen","DEN",17,15
71,"Benoit Cosnefroy","FRA",16,15
72,"Carlos Verona","ESP",15,15
73,"Georg Zimmermann","GER",15,15
74,"Stan Dewulf","BEL",15,15
75,"Mattia Cattaneo","ITA",15,15
76,"Matis Louvel","FRA",15,15
77,"Cyril Barthe","FRA",15,15
78,"Jack Bauer","NZL",15,15
79,"Sepp Kuss","USA",14,15
80,"Edward Planckaert","BEL",14,15
81,"Mikkel Bjerg","DEN",14,15
